Point Mutation,Mutation Proportion (%),"The most common cancers to harbor a mutation in this gene (ROSETTA classification, % of all instances of this mutation)"
TTN,3.2113004745168117,"Colorectal Adenocarcinoma (21.4%), Endometrial Cancer (19.82%), Malignant Melanoma (13.68%)"
TP53,2.7786245265513245,"Colorectal Adenocarcinoma (11.79%), Breast Carcinoma (7.92%), Head Neck Squamous Cell Carcinoma (7.92%)"
KRAS,1.4052212194495806,"Lung Adenocarcinoma (59.79%), Colorectal Adenocarcinoma (18.52%), Pancreatic Adenocarcinoma (6.35%)"
MUC16,1.0277088297407817,"Lung Adenocarcinoma (17.8%), Urothelial Cancer (12.04%), Lung Squamous Cell Carcinoma (7.85%)"
RYR2,0.8806747456947764,"Endometrial Cancer (21.6%), Lung Adenocarcinoma (17.9%), Colorectal Adenocarcinoma (14.2%)"
LRP1B,0.8326082244578505,"Lung Adenocarcinoma (19.01%), Malignant Melanoma (18.31%), Colorectal Adenocarcinoma (13.38%)"
CSMD3,0.8204503168538102,"Lung Adenocarcinoma (15.33%), Colorectal Adenocarcinoma (14.67%), Lung Squamous Cell Carcinoma (13.33%)"
FLG,0.8045984638532652,"Colorectal Adenocarcinoma (21.05%), Endometrial Cancer (21.05%), Lung Adenocarcinoma (11.84%)"
SYNE1,0.799696166382423,"Colorectal Adenocarcinoma (26.92%), Endometrial Cancer (24.62%), Malignant Melanoma (10%)"
USH2A,0.7382487530920251,"Endometrial Cancer (22.14%), Malignant Melanoma (19.29%), Lung Adenocarcinoma (12.86%)"
OBSCN,0.7324773875204106,"Endometrial Cancer (22.9%), Colorectal Adenocarcinoma (21.37%), Gastric Adenocarcinoma (9.16%)"
RYR1,0.6733024902196171,"Colorectal Adenocarcinoma (16.95%), Endometrial Cancer (15.25%), Gastric Adenocarcinoma (7.63%)"
FAT4,0.6516018135951758,"Malignant Melanoma (20.83%), Endometrial Cancer (18.33%), Colorectal Adenocarcinoma (16.67%)"
DNAH5,0.642562881122125,"Malignant Melanoma (33.61%), Colorectal Adenocarcinoma (15.13%), Lung Adenocarcinoma (8.4%)"
LRP2,0.6296512580971346,"Endometrial Cancer (15.45%), Colorectal Adenocarcinoma (13.01%), Malignant Melanoma (11.38%)"
SPTA1,0.5999337550075541,"Colorectal Adenocarcinoma (19.15%), Lung Adenocarcinoma (18.09%), Endometrial Cancer (12.77%)"
FBXW7,0.5912002364204196,"Colorectal Adenocarcinoma (40.4%), Endometrial Cancer (20.2%), Gastric Adenocarcinoma (10.1%)"
ZFHX4,0.5848755154577059,"Lung Adenocarcinoma (17.53%), Malignant Melanoma (15.46%), Endometrial Cancer (14.43%)"
RYR3,0.5571697735221633,"Endometrial Cancer (20.21%), Colorectal Adenocarcinoma (19.15%), Lung Adenocarcinoma (17.02%)"
PLEC,0.553905444348228,"Colorectal Adenocarcinoma (22%), Endometrial Cancer (15%), Gastric Adenocarcinoma (11%)"
RELN,0.5414784760558747,"Colorectal Adenocarcinoma (22.58%), Endometrial Cancer (20.43%), Lung Adenocarcinoma (11.83%)"
HRNR,0.5372167526730657,"Colorectal Adenocarcinoma (27.27%), Lung Adenocarcinoma (18.18%), Endometrial Cancer (12.5%)"
MDN1,0.5357258202702873,"Colorectal Adenocarcinoma (25.53%), Endometrial Cancer (20.21%), Malignant Melanoma (10.64%)"
ATM,0.5307622756051255,"Colorectal Adenocarcinoma (17.31%), Endometrial Cancer (13.46%), Gastric Adenocarcinoma (8.65%)"
LRP1,0.5264811619706372,"Endometrial Cancer (22.68%), Colorectal Adenocarcinoma (20.62%), Lung Adenocarcinoma (9.28%)"
